Scope
Manufacturer	Model
Native Instruments	vst3.5653544E696638666D38000000000000.FM8

Remotable	Min	Max	Input type	Output type
FM-Matrix Op. F -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. X -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. Z -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix In    -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix In    -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix In    -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix In    -> In    TL	0	4194304	Value	ValueOutput
Filter Bypass	0	1	Value	ValueOutput
Saturator Bypass	0	1	Value	ValueOutput
Pitch Envelope Amount	0	4194304	Value	ValueOutput
Stretch Octaves	0	4194304	Value	ValueOutput
Pitchbend Mode	0	4194304	Value	ValueOutput
Input On/Off BL	0	1	Value	ValueOutput
Input On/Off BR	0	1	Value	ValueOutput
Input On/Off TR	0	1	Value	ValueOutput
Input On/Off TL	0	1	Value	ValueOutput
Op. A Envelope Tempo Sync	0	1	Value	ValueOutput
Op. B Envelope Tempo Sync	0	1	Value	ValueOutput
Op. C Envelope Tempo Sync	0	1	Value	ValueOutput
Op. D Envelope Tempo Sync	0	1	Value	ValueOutput
Op. E Envelope Tempo Sync	0	1	Value	ValueOutput
Op. F Envelope Tempo Sync	0	1	Value	ValueOutput
Op. X Envelope Tempo Sync	0	1	Value	ValueOutput
Op. Z Envelope Tempo Sync	0	1	Value	ValueOutput
Pitch Envelope Tempo Sync	0	1	Value	ValueOutput
FreeRun or KeySync of Op. A	0	1	Value	ValueOutput
FreeRun or KeySync of Op. B	0	1	Value	ValueOutput
FreeRun or KeySync of Op. C	0	1	Value	ValueOutput
FreeRun or KeySync of Op. D	0	1	Value	ValueOutput
FreeRun or KeySync of Op. E	0	1	Value	ValueOutput
FreeRun or KeySync of Op. F	0	1	Value	ValueOutput
FreeRun or KeySync of Op. X	0	1	Value	ValueOutput
FreeRun or KeySync of Op. Z	0	1	Value	ValueOutput
FreeRun or KeySync of Pitch	0	1	Value	ValueOutput
Op. A Velocity Sensivity	0	4194304	Value	ValueOutput
Op. B Velocity Sensivity	0	4194304	Value	ValueOutput
Op. C Velocity Sensivity	0	4194304	Value	ValueOutput
Op. D Velocity Sensivity	0	4194304	Value	ValueOutput
Op. E Velocity Sensivity	0	4194304	Value	ValueOutput
Op. F Velocity Sensivity	0	4194304	Value	ValueOutput
Op. X Velocity Sensivity	0	4194304	Value	ValueOutput
Op. Z Velocity Sensivity	0	4194304	Value	ValueOutput
Pitch Velocity Sensivity	0	4194304	Value	ValueOutput
Op. A Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. B Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. C Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. D Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. E Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. F Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. X Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. Z Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Pitch Envelope Keyboard Scaling	0	4194304	Value	ValueOutput
Op. A Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. B Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. C Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. D Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. E Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. F Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. X Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. Z Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Pitch Envelope Velocity Scaling	0	4194304	Value	ValueOutput
Op. A Wave Invert	0	1	Value	ValueOutput
Op. B Wave Invert	0	1	Value	ValueOutput
Op. C Wave Invert	0	1	Value	ValueOutput
Op. D Wave Invert	0	1	Value	ValueOutput
Op. E Wave Invert	0	1	Value	ValueOutput
Op. F Wave Invert	0	1	Value	ValueOutput
Op. X Wave Invert	0	1	Value	ValueOutput
Op. Z Wave Invert	0	1	Value	ValueOutput
Pitch Wave Invert	0	1	Value	ValueOutput
Op. A Pitch Envelope	0	1	Value	ValueOutput
Op. B Pitch Envelope	0	1	Value	ValueOutput
Op. C Pitch Envelope	0	1	Value	ValueOutput
Op. D Pitch Envelope	0	1	Value	ValueOutput
Op. E Pitch Envelope	0	1	Value	ValueOutput
Op. F Pitch Envelope	0	1	Value	ValueOutput
Op. X Pitch Envelope	0	1	Value	ValueOutput
Op. Z Pitch Envelope	0	1	Value	ValueOutput
Pitch Pitch Envelope	0	1	Value	ValueOutput
Op. A Envelope Mode Loop	0	1	Value	ValueOutput
Op. B Envelope Mode Loop	0	1	Value	ValueOutput
Op. C Envelope Mode Loop	0	1	Value	ValueOutput
Op. D Envelope Mode Loop	0	1	Value	ValueOutput
Op. E Envelope Mode Loop	0	1	Value	ValueOutput
Op. F Envelope Mode Loop	0	1	Value	ValueOutput
Op. X Envelope Mode Loop	0	1	Value	ValueOutput
Op. Z Envelope Mode Loop	0	1	Value	ValueOutput
Pitch Envelope Mode Loop	0	1	Value	ValueOutput
Op. A Envelope Mode Release	0	1	Value	ValueOutput
Op. B Envelope Mode Release	0	1	Value	ValueOutput
Op. C Envelope Mode Release	0	1	Value	ValueOutput
Op. D Envelope Mode Release	0	1	Value	ValueOutput
Op. E Envelope Mode Release	0	1	Value	ValueOutput
Op. F Envelope Mode Release	0	1	Value	ValueOutput
Op. X Envelope Mode Release	0	1	Value	ValueOutput
Op. Z Envelope Mode Release	0	1	Value	ValueOutput
Pitch Envelope Mode Release	0	1	Value	ValueOutput
Op. A On/Off BL	0	1	Value	ValueOutput
Op. A On/Off BR	0	1	Value	ValueOutput
Op. A On/Off TR	0	1	Value	ValueOutput
Op. A On/Off TL	0	1	Value	ValueOutput
Op. B On/Off BL	0	1	Value	ValueOutput
Op. B On/Off BR	0	1	Value	ValueOutput
Op. B On/Off TR	0	1	Value	ValueOutput
Op. B On/Off TL	0	1	Value	ValueOutput
Op. C On/Off BL	0	1	Value	ValueOutput
Op. C On/Off BR	0	1	Value	ValueOutput
Op. C On/Off TR	0	1	Value	ValueOutput
Op. C On/Off TL	0	1	Value	ValueOutput
Op. D On/Off BL	0	1	Value	ValueOutput
Op. D On/Off BR	0	1	Value	ValueOutput
Op. D On/Off TR	0	1	Value	ValueOutput
Op. D On/Off TL	0	1	Value	ValueOutput
Op. E On/Off BL	0	1	Value	ValueOutput
Op. E On/Off BR	0	1	Value	ValueOutput
Op. E On/Off TR	0	1	Value	ValueOutput
Op. E On/Off TL	0	1	Value	ValueOutput
Op. F On/Off BL	0	1	Value	ValueOutput
Op. F On/Off BR	0	1	Value	ValueOutput
Op. F On/Off TR	0	1	Value	ValueOutput
Op. F On/Off TL	0	1	Value	ValueOutput
Op. X On/Off BL	0	1	Value	ValueOutput
Op. X On/Off BR	0	1	Value	ValueOutput
Op. X On/Off TR	0	1	Value	ValueOutput
Op. X On/Off TL	0	1	Value	ValueOutput
Op. Z On/Off BL	0	1	Value	ValueOutput
Op. Z On/Off BR	0	1	Value	ValueOutput
Op. Z On/Off TR	0	1	Value	ValueOutput
Op. Z On/Off TL	0	1	Value	ValueOutput
Pitch On/Off BL	0	1	Value	ValueOutput
Pitch On/Off BR	0	1	Value	ValueOutput
Pitch On/Off TR	0	1	Value	ValueOutput
Pitch On/Off TL	0	1	Value	ValueOutput
Op. A Output Level BL	0	4194304	Value	ValueOutput
Op. A Output Level BR	0	4194304	Value	ValueOutput
Op. A Output Level TR	0	4194304	Value	ValueOutput
Op. A Output Level TL	0	4194304	Value	ValueOutput
Op. B Output Level BL	0	4194304	Value	ValueOutput
Op. B Output Level BR	0	4194304	Value	ValueOutput
Op. B Output Level TR	0	4194304	Value	ValueOutput
Op. B Output Level TL	0	4194304	Value	ValueOutput
Op. C Output Level BL	0	4194304	Value	ValueOutput
Op. C Output Level BR	0	4194304	Value	ValueOutput
Op. C Output Level TR	0	4194304	Value	ValueOutput
Op. C Output Level TL	0	4194304	Value	ValueOutput
Op. D Output Level BL	0	4194304	Value	ValueOutput
Op. D Output Level BR	0	4194304	Value	ValueOutput
Op. D Output Level TR	0	4194304	Value	ValueOutput
Op. D Output Level TL	0	4194304	Value	ValueOutput
Op. E Output Level BL	0	4194304	Value	ValueOutput
Op. E Output Level BR	0	4194304	Value	ValueOutput
Op. E Output Level TR	0	4194304	Value	ValueOutput
Op. E Output Level TL	0	4194304	Value	ValueOutput
Op. F Output Level BL	0	4194304	Value	ValueOutput
Op. F Output Level BR	0	4194304	Value	ValueOutput
Op. F Output Level TR	0	4194304	Value	ValueOutput
Op. F Output Level TL	0	4194304	Value	ValueOutput
Op. X Output Level BL	0	4194304	Value	ValueOutput
Op. X Output Level BR	0	4194304	Value	ValueOutput
Op. X Output Level TR	0	4194304	Value	ValueOutput
Op. X Output Level TL	0	4194304	Value	ValueOutput
Op. Z Output Level BL	0	4194304	Value	ValueOutput
Op. Z Output Level BR	0	4194304	Value	ValueOutput
Op. Z Output Level TR	0	4194304	Value	ValueOutput
Op. Z Output Level TL	0	4194304	Value	ValueOutput
Pitch Output Level BL	0	4194304	Value	ValueOutput
Pitch Output Level BR	0	4194304	Value	ValueOutput
Pitch Output Level TR	0	4194304	Value	ValueOutput
Pitch Output Level TL	0	4194304	Value	ValueOutput
Op. A WaveformBL	0	4194304	Value	ValueOutput
Op. A WaveformBR	0	4194304	Value	ValueOutput
Op. A WaveformTR	0	4194304	Value	ValueOutput
Op. A WaveformTL	0	4194304	Value	ValueOutput
Op. B WaveformBL	0	4194304	Value	ValueOutput
Op. B WaveformBR	0	4194304	Value	ValueOutput
Op. B WaveformTR	0	4194304	Value	ValueOutput
Op. B WaveformTL	0	4194304	Value	ValueOutput
Op. C WaveformBL	0	4194304	Value	ValueOutput
Op. C WaveformBR	0	4194304	Value	ValueOutput
Op. C WaveformTR	0	4194304	Value	ValueOutput
Op. C WaveformTL	0	4194304	Value	ValueOutput
Op. D WaveformBL	0	4194304	Value	ValueOutput
Op. D WaveformBR	0	4194304	Value	ValueOutput
Op. D WaveformTR	0	4194304	Value	ValueOutput
Op. D WaveformTL	0	4194304	Value	ValueOutput
Op. E WaveformBL	0	4194304	Value	ValueOutput
Op. E WaveformBR	0	4194304	Value	ValueOutput
Op. E WaveformTR	0	4194304	Value	ValueOutput
Op. E WaveformTL	0	4194304	Value	ValueOutput
Op. F WaveformBL	0	4194304	Value	ValueOutput
Op. F WaveformBR	0	4194304	Value	ValueOutput
Op. F WaveformTR	0	4194304	Value	ValueOutput
Op. F WaveformTL	0	4194304	Value	ValueOutput
Op. X WaveformBL	0	4194304	Value	ValueOutput
Op. X WaveformBR	0	4194304	Value	ValueOutput
Op. X WaveformTR	0	4194304	Value	ValueOutput
Op. X WaveformTL	0	4194304	Value	ValueOutput
Op. Z WaveformBL	0	4194304	Value	ValueOutput
Op. Z WaveformBR	0	4194304	Value	ValueOutput
Op. Z WaveformTR	0	4194304	Value	ValueOutput
Op. Z WaveformTL	0	4194304	Value	ValueOutput
Pitch WaveformBL	0	4194304	Value	ValueOutput
Pitch WaveformBR	0	4194304	Value	ValueOutput
Pitch WaveformTR	0	4194304	Value	ValueOutput
Pitch WaveformTL	0	4194304	Value	ValueOutput
Op. A Frequency RatioBL	0	4194304	Value	ValueOutput
Op. A Frequency RatioBR	0	4194304	Value	ValueOutput
Op. A Frequency RatioTR	0	4194304	Value	ValueOutput
Op. A Frequency RatioTL	0	4194304	Value	ValueOutput
Op. B Frequency RatioBL	0	4194304	Value	ValueOutput
Op. B Frequency RatioBR	0	4194304	Value	ValueOutput
Op. B Frequency RatioTR	0	4194304	Value	ValueOutput
Op. B Frequency RatioTL	0	4194304	Value	ValueOutput
Op. C Frequency RatioBL	0	4194304	Value	ValueOutput
Op. C Frequency RatioBR	0	4194304	Value	ValueOutput
Op. C Frequency RatioTR	0	4194304	Value	ValueOutput
Op. C Frequency RatioTL	0	4194304	Value	ValueOutput
Op. D Frequency RatioBL	0	4194304	Value	ValueOutput
Op. D Frequency RatioBR	0	4194304	Value	ValueOutput
Op. D Frequency RatioTR	0	4194304	Value	ValueOutput
Op. D Frequency RatioTL	0	4194304	Value	ValueOutput
Op. E Frequency RatioBL	0	4194304	Value	ValueOutput
Op. E Frequency RatioBR	0	4194304	Value	ValueOutput
Op. E Frequency RatioTR	0	4194304	Value	ValueOutput
Op. E Frequency RatioTL	0	4194304	Value	ValueOutput
Op. F Frequency RatioBL	0	4194304	Value	ValueOutput
Op. F Frequency RatioBR	0	4194304	Value	ValueOutput
Op. F Frequency RatioTR	0	4194304	Value	ValueOutput
Op. F Frequency RatioTL	0	4194304	Value	ValueOutput
Op. X Frequency RatioBL	0	4194304	Value	ValueOutput
Op. X Frequency RatioBR	0	4194304	Value	ValueOutput
Op. X Frequency RatioTR	0	4194304	Value	ValueOutput
Op. X Frequency RatioTL	0	4194304	Value	ValueOutput
Op. Z Frequency RatioBL	0	4194304	Value	ValueOutput
Op. Z Frequency RatioBR	0	4194304	Value	ValueOutput
Op. Z Frequency RatioTR	0	4194304	Value	ValueOutput
Op. Z Frequency RatioTL	0	4194304	Value	ValueOutput
Pitch Frequency RatioBL	0	4194304	Value	ValueOutput
Pitch Frequency RatioBR	0	4194304	Value	ValueOutput
Pitch Frequency RatioTR	0	4194304	Value	ValueOutput
Pitch Frequency RatioTL	0	4194304	Value	ValueOutput
Op. A Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. A Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. A Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. A Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. B Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. B Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. B Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. B Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. C Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. C Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. C Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. C Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. D Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. D Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. D Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. D Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. E Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. E Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. E Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. E Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. F Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. F Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. F Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. F Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. X Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. X Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. X Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. X Frequency OffsetTL	0	4194304	Value	ValueOutput
Op. Z Frequency OffsetBL	0	4194304	Value	ValueOutput
Op. Z Frequency OffsetBR	0	4194304	Value	ValueOutput
Op. Z Frequency OffsetTR	0	4194304	Value	ValueOutput
Op. Z Frequency OffsetTL	0	4194304	Value	ValueOutput
Pitch Frequency OffsetBL	0	4194304	Value	ValueOutput
Pitch Frequency OffsetBR	0	4194304	Value	ValueOutput
Pitch Frequency OffsetTR	0	4194304	Value	ValueOutput
Pitch Frequency OffsetTL	0	4194304	Value	ValueOutput
Filt. Routing Serial/Parallel BL	0	4194304	Value	ValueOutput
Filt. Routing Serial/Parallel BR	0	4194304	Value	ValueOutput
Filt. Routing Serial/Parallel TR	0	4194304	Value	ValueOutput
Filt. Routing Serial/Parallel TL	0	4194304	Value	ValueOutput
Filter Routing Mix BL	0	4194304	Value	ValueOutput
Filter Routing Mix BR	0	4194304	Value	ValueOutput
Filter Routing Mix TR	0	4194304	Value	ValueOutput
Filter Routing Mix TL	0	4194304	Value	ValueOutput
Filter 1 Mode BL	0	4194304	Value	ValueOutput
Filter 1 Mode BR	0	4194304	Value	ValueOutput
Filter 1 Mode TR	0	4194304	Value	ValueOutput
Filter 1 Mode TL	0	4194304	Value	ValueOutput
Filter 2 Mode BL	0	4194304	Value	ValueOutput
Filter 2 Mode BR	0	4194304	Value	ValueOutput
Filter 2 Mode TR	0	4194304	Value	ValueOutput
Filter 2 Mode TL	0	4194304	Value	ValueOutput
Filter Cutoff BL	0	4194304	Value	ValueOutput
Filter Cutoff BR	0	4194304	Value	ValueOutput
Filter Cutoff TR	0	4194304	Value	ValueOutput
Filter Cutoff TL	0	4194304	Value	ValueOutput
Filter Cutoff Spread BL	0	4194304	Value	ValueOutput
Filter Cutoff Spread BR	0	4194304	Value	ValueOutput
Filter Cutoff Spread TR	0	4194304	Value	ValueOutput
Filter Cutoff Spread TL	0	4194304	Value	ValueOutput
Filter Envelope Amount BL	0	4194304	Value	ValueOutput
Filter Envelope Amount BR	0	4194304	Value	ValueOutput
Filter Envelope Amount TR	0	4194304	Value	ValueOutput
Filter Envelope Amount TL	0	4194304	Value	ValueOutput
Filter 1 Resonance BL	0	4194304	Value	ValueOutput
Filter 1 Resonance BR	0	4194304	Value	ValueOutput
Filter 1 Resonance TR	0	4194304	Value	ValueOutput
Filter 1 Resonance TL	0	4194304	Value	ValueOutput
Filter 2 Resonance BL	0	4194304	Value	ValueOutput
Filter 2 Resonance BR	0	4194304	Value	ValueOutput
Filter 2 Resonance TR	0	4194304	Value	ValueOutput
Filter 2 Resonance TL	0	4194304	Value	ValueOutput
Noise Cutoff BL	0	4194304	Value	ValueOutput
Noise Cutoff BR	0	4194304	Value	ValueOutput
Noise Cutoff TR	0	4194304	Value	ValueOutput
Noise Cutoff TL	0	4194304	Value	ValueOutput
Noise Resonance BL	0	4194304	Value	ValueOutput
Noise Resonance BR	0	4194304	Value	ValueOutput
Noise Resonance TR	0	4194304	Value	ValueOutput
Noise Resonance TL	0	4194304	Value	ValueOutput
Noise Amplitude BL	0	4194304	Value	ValueOutput
Noise Amplitude BR	0	4194304	Value	ValueOutput
Noise Amplitude TR	0	4194304	Value	ValueOutput
Noise Amplitude TL	0	4194304	Value	ValueOutput
Saturator Gain BL	0	4194304	Value	ValueOutput
Saturator Gain BR	0	4194304	Value	ValueOutput
Saturator Gain TR	0	4194304	Value	ValueOutput
